TTI,UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
1,17424,17424,15112,16392,0,0,0,0,0,0,0,0
2,0,0,0,0,4224,6016,4736,9224,0,0,0,0
3,17424,0,0,0,0,0,0,0,848,0,1352,3240
4,0,17424,15112,16392,4224,0,0,0,0,0,0,0
5,0,0,0,0,0,6016,4736,9224,0,0,1352,0
6,17424,17424,0,0,0,0,0,0,848,0,0,3240
7,0,0,15112,16392,4224,6016,0,0,0,0,0,0
8,0,0,0,0,0,0,4736,9224,848,0,1352,0
9,17424,17424,15112,0,0,0,0,0,0,0,0,3240
10,0,0,0,16392,4224,6016,4736,0,0,0,0,0
11,0,0,0,0,0,0,0,9224,848,0,1352,3240
12,17424,17424,15112,16392,0,0,0,0,0,0,0,0
13,0,0,0,0,4224,6016,4736,9224,0,0,0,0
14,17424,0,0,0,0,0,0,0,848,0,1352,3240
15,0,17424,15112,16392,4224,0,0,0,0,0,0,0
16,0,0,0,0,0,6016,4736,9224,0,0,1352,0
17,0,0,15112,0,4224,0,0,0,848,0,0,3240
18,0,0,0,0,0,6016,4736,9224,0,0,1352,0
19,0,0,0,0,4224,6016,0,0,848,0,0,3240
20,0,0,0,0,0,0,4736,9224,848,0,1352,0
21,18960,18960,0,13064,0,0,0,0,0,1352,0,0
22,18960,0,17424,0,6016,0,0,0,0,1352,0,0
23,0,18960,0,13064,0,6016,0,0,0,0,0,3240
24,0,0,17424,0,0,0,4224,9224,0,1352,0,0
25,18960,18960,0,0,6016,0,0,0,0,0,0,3240
26,0,0,17424,13064,0,6016,0,9224,0,0,0,0
27,18960,0,0,0,6016,0,4224,0,0,1352,0,0
28,0,18960,0,13064,0,6016,0,0,0,0,0,3240
29,0,0,17424,0,0,0,4224,9224,0,1352,0,0
30,18960,18960,0,0,6016,0,0,0,0,0,0,3240
31,0,0,17424,13064,0,6016,0,9224,0,0,0,0
32,18960,0,0,0,6016,0,4224,0,0,1352,0,0
33,0,18960,0,13064,0,6016,0,0,0,0,0,3240
34,0,0,17424,0,0,0,4224,9224,0,1352,0,0
35,0,0,0,13064,6016,6016,0,0,0,0,0,3240
36,0,0,0,0,6016,0,4224,9224,0,1352,0,0
37,0,0,0,13064,0,6016,0,9224,0,0,0,3240
38,0,0,0,0,6016,0,4224,0,0,1352,0,3240
39,0,0,0,0,0,6016,4224,9224,0,1352,0,0
40,0,0,0,0,6016,6016,0,9224,0,0,0,3240
41,17424,0,18960,0,0,0,0,0,3240,0,3240,0
42,0,15112,0,17424,0,0,0,0,3240,0,3240,0
43,17424,15112,18960,0,0,0,7808,0,0,0,0,0
44,0,0,0,17424,0,0,7808,0,3240,0,3240,0
45,17424,0,18960,0,4736,0,0,0,0,848,0,0
46,0,15112,0,17424,0,4736,0,0,3240,0,0,0
47,17424,0,0,0,4736,0,7808,0,0,0,3240,0
48,0,0,18960,0,0,4736,0,4224,0,848,0,0
49,0,15112,0,17424,0,0,0,0,3240,0,3240,0
50,17424,0,0,0,4736,0,7808,0,0,0,0,848
51,0,0,18960,0,0,4736,0,4224,0,848,0,0
52,0,15112,0,17424,0,0,0,0,3240,0,3240,0
53,17424,0,0,0,4736,0,7808,0,0,0,0,848
54,0,0,18960,0,0,4736,0,4224,0,848,0,0
55,0,15112,0,17424,0,0,0,0,3240,0,3240,0
56,0,0,0,0,4736,0,7808,0,0,848,0,848
57,0,15112,0,0,0,4736,0,4224,3240,0,0,0
58,0,0,0,0,4736,0,7808,0,0,0,3240,848
59,0,0,0,0,0,4736,0,4224,3240,848,0,0
60,0,0,0,0,4736,0,7808,0,0,0,3240,848
61,17424,0,15112,15112,0,0,0,0,0,3240,0,0
62,17424,17424,0,0,0,0,0,9224,0,0,0,2152
63,0,0,15112,15112,0,0,11016,0,0,3240,0,0
64,0,17424,0,0,0,4224,0,9224,0,0,0,2152
65,17424,0,0,0,4224,0,0,0,2152,3240,0,0
66,0,0,15112,15112,0,4224,11016,0,0,0,0,0
67,0,17424,0,0,0,0,0,9224,0,0,1352,2152
68,17424,0,0,0,4224,0,0,0,2152,3240,0,0
69,0,0,15112,15112,0,4224,11016,0,0,0,0,0
70,0,17424,0,0,0,0,0,9224,0,0,1352,2152
71,17424,0,0,0,4224,0,0,0,2152,3240,0,0
72,0,0,15112,15112,0,4224,11016,0,0,0,0,0
73,0,17424,0,0,0,0,0,9224,0,0,1352,2152
74,17424,0,0,0,4224,0,0,0,2152,3240,0,0
75,0,0,15112,15112,0,4224,11016,0,0,0,0,0
76,0,17424,0,0,0,0,0,9224,0,0,1352,2152
77,0,0,0,0,4224,0,11016,0,2152,3240,0,0
78,0,0,15112,15112,0,4224,0,9224,0,0,0,0
79,0,0,0,0,4224,0,0,0,2152,0,1352,2152
80,0,0,0,0,0,4224,11016,9224,0,3240,0,0
81,16392,0,0,0,11016,11016,0,0,0,0,3240,0
82,16392,15112,15112,17424,0,0,0,0,0,0,0,0
83,0,15112,0,0,11016,11016,0,0,0,0,3240,0
84,0,0,15112,17424,0,0,0,7808,1352,0,0,0
85,16392,0,0,0,11016,0,6016,0,0,0,3240,0
86,0,15112,15112,17424,0,11016,0,0,0,0,0,0
87,16392,0,0,0,0,0,0,7808,1352,0,3240,0
88,0,0,0,0,11016,11016,6016,0,0,848,0,0
89,0,15112,15112,17424,0,0,0,7808,0,0,0,0
90,16392,0,0,0,11016,0,0,0,1352,0,3240,0
91,0,15112,0,0,0,11016,6016,0,0,848,0,0
92,0,0,15112,17424,0,0,0,7808,1352,0,0,0
93,16392,0,0,0,11016,0,6016,0,0,0,3240,0
94,0,15112,0,17424,0,11016,0,0,0,848,0,0
95,0,0,15112,0,0,0,0,7808,1352,0,3240,0
96,0,0,0,0,11016,11016,6016,0,0,848,0,0
97,0,15112,15112,0,0,0,0,7808,1352,0,0,0
98,0,0,0,0,11016,0,6016,0,0,848,3240,0
99,0,0,0,0,0,11016,0,7808,1352,0,3240,0
100,0,0,0,0,11016,11016,6016,0,0,848,0,0
101,16392,17424,0,13064,0,0,0,0,0,0,0,1352
102,16392,0,16392,0,0,0,0,0,1352,0,0,1352
103,0,17424,16392,13064,0,0,0,0,0,0,0,1352
104,16392,0,0,0,0,0,4736,4736,1352,0,0,0
105,0,17424,16392,13064,6016,0,0,0,0,0,0,0
106,16392,0,0,0,0,6016,4736,0,0,0,0,1352
107,0,17424,0,13064,0,0,0,4736,1352,0,0,0
108,0,0,16392,0,6016,6016,0,0,0,0,0,1352
109,16392,0,0,0,0,0,4736,4736,1352,0,0,0
110,0,17424,16392,13064,6016,0,0,0,0,0,0,0
111,16392,0,0,0,0,6016,4736,0,0,0,0,1352
112,0,17424,0,13064,0,0,0,4736,1352,0,0,0
113,0,0,16392,0,6016,6016,0,0,0,0,0,1352
114,0,0,0,13064,0,0,4736,4736,1352,0,0,0
115,0,0,0,0,6016,6016,4736,0,0,0,0,1352
116,0,0,0,0,6016,0,0,4736,1352,0,0,1352
117,0,0,0,0,0,6016,4736,4736,1352,0,0,0
118,0,0,0,0,6016,6016,4736,0,0,0,0,1352
119,0,0,0,0,6016,0,0,4736,1352,0,0,1352
120,0,0,0,0,0,6016,4736,4736,1352,0,0,0
121,15112,0,18960,0,0,0,0,0,0,2152,848,0
122,0,15112,0,18960,0,0,0,0,0,2152,848,0
123,15112,0,0,0,11016,11016,0,0,3240,0,0,0
124,0,15112,18960,18960,0,0,0,7808,0,0,0,0
125,0,0,0,0,0,0,0,0,3240,2152,848,1352
126,15112,0,0,0,11016,11016,4224,0,0,0,0,0
127,0,15112,18960,18960,0,0,0,7808,0,0,0,0
128,0,0,0,0,0,0,0,0,3240,2152,848,1352
129,15112,0,0,0,11016,11016,4224,0,0,0,0,0
130,0,15112,18960,18960,0,0,0,7808,0,0,0,0
131,0,0,0,0,0,0,0,0,3240,2152,848,1352
132,15112,0,0,0,11016,11016,4224,0,0,0,0,0
133,0,15112,18960,18960,0,0,0,7808,0,0,0,0
134,0,0,0,0,0,0,0,0,3240,2152,848,1352
135,15112,0,0,0,11016,11016,4224,0,0,0,0,0
136,0,15112,18960,0,0,0,0,7808,0,0,0,1352
137,0,0,0,0,11016,0,0,0,3240,2152,848,0
138,15112,0,0,0,0,11016,4224,7808,0,0,0,0
139,0,15112,0,0,0,0,0,0,0,2152,848,1352
140,0,0,0,0,11016,11016,4224,0,3240,0,0,0
141,18960,0,15112,13064,0,0,0,0,0,0,0,3240
142,0,15112,0,13064,0,0,0,0,0,0,1352,3240
143,18960,0,15112,0,9224,0,4736,0,0,0,0,0
144,0,0,0,0,0,0,0,4224,2152,1352,1352,0
145,0,15112,0,13064,0,7808,0,0,0,0,0,3240
146,18960,0,15112,0,9224,0,4736,0,0,0,0,0
147,0,0,0,0,0,0,0,4224,2152,1352,1352,0
148,0,15112,0,13064,0,7808,0,0,0,0,0,3240
149,18960,0,15112,0,9224,0,4736,0,0,0,0,0
150,0,0,0,0,0,0,0,4224,2152,1352,1352,0
151,0,15112,0,13064,0,7808,0,0,0,0,0,3240
152,18960,0,15112,0,9224,0,4736,0,0,0,0,0
153,0,0,0,0,0,0,0,4224,2152,1352,1352,0
154,0,15112,0,13064,0,7808,0,0,0,0,0,3240
155,0,0,15112,0,9224,0,4736,0,0,0,1352,0
156,0,15112,0,0,0,0,0,4224,2152,1352,0,0
157,0,0,0,13064,0,7808,4736,0,0,0,0,3240
158,0,0,15112,0,9224,0,0,4224,0,0,1352,0
159,0,15112,0,0,0,7808,0,0,2152,1352,0,0
160,0,0,0,0,9224,0,4736,0,0,0,1352,3240
161,13064,0,15112,16392,0,0,0,11016,0,0,0,0
162,13064,18960,0,0,0,0,7808,0,0,0,2152,0
163,0,0,0,16392,11016,0,0,11016,0,0,0,3240
164,0,0,15112,0,0,6016,7808,0,1352,0,0,0
165,13064,18960,0,0,0,0,0,11016,0,0,2152,0
166,0,0,0,16392,11016,6016,0,0,0,0,0,3240
167,0,18960,15112,0,0,0,7808,0,1352,0,0,0
168,13064,0,0,0,11016,0,0,11016,0,0,2152,0
169,0,0,15112,16392,0,6016,0,0,0,0,0,3240
170,0,18960,0,0,0,0,7808,0,1352,0,2152,0
171,13064,0,0,0,11016,0,0,11016,0,0,0,3240
172,0,0,15112,16392,0,6016,0,0,1352,0,0,0
173,13064,18960,0,0,0,0,7808,0,0,0,2152,0
174,0,0,0,16392,11016,0,0,11016,0,0,0,3240
175,0,0,15112,0,0,6016,7808,0,1352,0,0,0
176,13064,18960,0,0,0,0,0,11016,0,0,2152,0
177,0,0,0,0,11016,6016,0,0,1352,0,0,3240
178,13064,0,0,0,0,0,7808,11016,0,0,2152,0
179,0,0,0,0,11016,6016,0,0,1352,0,0,3240
180,0,0,0,0,11016,0,7808,11016,0,0,2152,0
181,0,0,18960,13064,0,0,0,0,3240,1352,0,0
182,13064,15112,18960,0,0,0,0,0,0,1352,0,0
183,0,15112,0,13064,0,0,0,11016,3240,0,0,0
184,13064,0,0,0,0,4224,0,0,0,1352,0,2152
185,0,0,18960,13064,0,0,4736,0,3240,0,0,0
186,0,15112,0,0,6016,0,0,11016,0,1352,0,0
187,13064,0,0,0,0,4224,0,0,0,0,848,2152
188,0,0,18960,13064,0,0,4736,0,3240,0,0,0
189,0,15112,0,0,6016,0,0,11016,0,1352,0,0
190,13064,0,0,0,0,4224,0,0,0,0,848,2152
191,0,0,18960,13064,0,0,4736,0,3240,0,0,0
192,0,15112,0,0,6016,0,0,11016,0,1352,0,0
193,13064,0,0,0,0,4224,0,0,0,0,848,2152
194,0,0,18960,13064,0,0,4736,0,3240,0,0,0
195,0,15112,0,0,6016,0,0,11016,0,1352,0,0
196,13064,0,0,0,0,4224,0,0,0,0,848,2152
197,0,0,0,13064,0,0,4736,11016,3240,0,0,0
198,0,15112,0,0,6016,0,0,0,0,1352,0,2152
199,13064,0,0,0,0,4224,4736,0,0,0,848,0
200,0,0,0,13064,6016,0,0,11016,3240,0,0,0
201,16392,0,16392,0,0,6016,11016,0,0,0,0,0
202,0,15112,0,16392,0,0,0,0,0,1352,848,0
203,0,0,16392,0,7808,0,11016,0,3240,0,0,0
204,16392,0,0,0,0,6016,0,11016,0,0,0,1352
205,0,15112,0,16392,0,0,0,0,0,1352,848,0
206,0,0,16392,0,7808,0,11016,0,3240,0,0,0
207,16392,0,0,0,0,6016,0,11016,0,0,0,1352
208,0,15112,0,16392,0,0,0,0,0,1352,848,0
209,0,0,16392,0,7808,0,11016,0,3240,0,0,0
210,16392,0,0,0,0,6016,0,11016,0,0,0,1352
211,0,15112,0,16392,0,0,0,0,0,1352,848,0
212,0,0,16392,0,7808,0,11016,0,3240,0,0,0
213,16392,0,0,0,0,6016,0,11016,0,0,0,1352
214,0,15112,0,16392,0,0,0,0,0,1352,848,0
215,0,0,16392,0,7808,0,11016,0,3240,0,0,0
216,16392,0,0,0,0,6016,0,11016,0,0,0,1352
217,0,15112,0,16392,0,0,0,0,0,1352,848,0
218,0,0,0,0,7808,0,11016,11016,3240,0,0,0
219,16392,15112,0,0,0,6016,0,0,0,0,0,1352
220,0,0,0,0,7808,0,11016,0,0,1352,848,0
221,0,0,15112,15112,0,0,0,11016,0,0,3240,0
222,0,16392,0,0,0,6016,0,0,0,0,3240,1352
223,13064,0,15112,15112,0,0,0,11016,0,0,0,0
224,0,16392,0,0,0,6016,0,0,0,848,0,1352
225,13064,0,15112,0,0,0,6016,0,0,0,3240,0
226,0,0,0,15112,4224,0,0,11016,0,0,0,1352
227,0,16392,0,0,0,6016,0,0,0,848,3240,0
228,13064,0,15112,0,4224,0,6016,0,0,0,0,0
229,0,0,0,15112,0,6016,0,11016,0,0,0,1352
230,0,16392,15112,0,0,0,0,0,0,848,3240,0
231,13064,0,0,15112,4224,0,6016,0,0,0,0,0
232,0,0,0,0,0,6016,0,11016,0,848,0,1352
233,13064,16392,15112,0,0,0,0,0,0,0,3240,0
234,0,0,0,15112,4224,0,6016,11016,0,0,0,0
235,0,16392,0,0,0,6016,0,0,0,848,0,1352
236,13064,0,15112,0,0,0,6016,0,0,0,3240,0
237,0,0,0,15112,4224,0,0,11016,0,0,0,1352
238,13064,0,0,0,0,6016,0,0,0,848,3240,0
239,0,0,0,0,4224,0,6016,11016,0,0,0,1352
240,0,0,0,0,0,6016,6016,0,0,848,3240,0
241,0,13064,13064,0,0,0,0,0,2152,2152,0,0
242,18960,0,0,13064,6016,0,0,0,2152,0,0,0
243,0,0,0,0,0,9224,9224,0,0,2152,0,1352
244,18960,13064,13064,0,0,0,0,9224,0,0,0,0
245,0,0,0,13064,6016,9224,0,0,2152,0,0,0
246,0,0,0,0,0,0,9224,0,0,2152,2152,1352
247,18960,13064,13064,0,0,0,0,9224,0,0,0,0
248,0,0,0,13064,6016,9224,0,0,2152,0,0,0
249,0,0,0,0,0,0,9224,0,0,2152,2152,1352
250,18960,13064,13064,0,0,0,0,9224,0,0,0,0
251,0,0,0,13064,6016,9224,0,0,2152,0,0,0
252,0,0,0,0,0,0,9224,0,0,2152,2152,1352
253,18960,13064,13064,0,0,0,0,9224,0,0,0,0
254,0,0,0,13064,6016,9224,0,0,2152,0,0,0
255,0,0,0,0,0,0,9224,0,0,2152,2152,1352
256,18960,13064,13064,0,0,0,0,9224,0,0,0,0
257,0,0,0,13064,6016,9224,0,0,2152,0,0,0
258,0,0,0,0,0,0,9224,0,0,2152,2152,1352
259,0,13064,13064,13064,0,0,0,9224,0,0,0,0
260,0,0,0,0,6016,9224,9224,0,2152,0,0,0
261,13064,16392,15112,0,11016,0,0,0,0,0,0,0
262,0,0,0,15112,0,11016,0,9224,2152,0,0,0
263,13064,0,0,0,11016,0,0,0,0,0,1352,848
264,0,16392,15112,15112,0,0,0,9224,0,0,0,0
265,0,0,0,0,0,11016,6016,0,2152,848,0,0
266,13064,0,0,0,11016,0,0,0,0,0,1352,848
267,0,16392,15112,15112,0,0,0,9224,0,0,0,0
268,0,0,0,0,0,11016,6016,0,2152,848,0,0
269,13064,0,0,0,11016,0,0,0,0,0,1352,848
270,0,16392,15112,15112,0,0,0,9224,0,0,0,0
271,0,0,0,0,0,11016,6016,0,2152,848,0,0
272,13064,0,0,0,11016,0,0,0,0,0,1352,848
273,0,16392,15112,15112,0,0,0,9224,0,0,0,0
274,0,0,0,0,0,11016,6016,0,2152,848,0,0
275,13064,0,0,0,11016,0,0,0,0,0,1352,848
276,0,16392,15112,15112,0,0,0,9224,0,0,0,0
277,0,0,0,0,0,11016,6016,0,2152,848,0,0
278,13064,0,0,0,11016,0,0,0,0,0,1352,848
279,0,0,15112,15112,0,11016,0,9224,0,0,0,0
280,0,0,0,0,0,0,6016,0,2152,848,1352,0
281,15112,16392,17424,0,0,0,0,0,0,0,0,848
282,0,0,0,16392,9224,0,0,7808,0,848,0,0
283,15112,16392,0,0,0,0,0,0,0,0,1352,848
284,0,0,17424,16392,9224,0,4736,0,0,0,0,0
285,0,16392,0,0,0,0,0,7808,0,848,1352,0
286,15112,0,0,0,0,4224,4736,0,0,0,0,848
287,0,0,17424,16392,9224,0,0,0,848,0,0,0
288,0,16392,0,0,0,0,0,7808,0,848,1352,0
289,15112,0,0,0,0,4224,4736,0,0,0,0,848
290,0,0,17424,16392,9224,0,0,0,848,0,0,0
291,0,16392,0,0,0,0,0,7808,0,848,1352,0
292,15112,0,0,0,0,4224,4736,0,0,0,0,848
293,0,0,17424,16392,9224,0,0,0,848,0,0,0
294,0,16392,0,0,0,0,0,7808,0,848,1352,0
295,15112,0,0,0,0,4224,4736,0,0,0,0,848
296,0,0,17424,16392,9224,0,0,0,848,0,0,0
297,15112,0,0,0,0,0,0,7808,0,848,1352,0
298,0,0,0,0,0,4224,4736,0,848,0,0,848
299,0,0,0,0,9224,0,0,7808,0,848,1352,0
300,0,0,0,0,0,4224,4736,0,848,0,0,848
301,0,18960,0,15112,0,0,0,0,2152,0,3240,0
302,15112,0,13064,0,0,0,11016,0,0,1352,0,0
303,0,18960,0,15112,11016,0,0,0,0,0,3240,0
304,0,0,0,0,0,4224,11016,6016,2152,0,0,0
305,15112,0,13064,0,11016,0,0,0,0,1352,0,0
306,0,18960,0,15112,0,0,0,0,2152,0,3240,0
307,0,0,13064,0,0,4224,11016,6016,0,0,0,0
308,15112,18960,0,0,11016,0,0,0,0,1352,0,0
309,0,0,0,15112,0,4224,0,0,2152,0,3240,0
310,0,0,13064,0,0,0,11016,6016,0,1352,0,0
311,15112,18960,0,0,11016,0,0,0,0,0,3240,0
312,0,0,0,15112,0,4224,0,6016,2152,0,0,0
313,15112,0,13064,0,0,0,11016,0,0,1352,0,0
314,0,0,0,15112,11016,0,0,0,2152,0,3240,0
315,0,0,13064,0,0,4224,11016,6016,0,0,0,0
316,15112,0,0,0,11016,0,0,0,0,1352,3240,0
317,0,0,0,15112,0,4224,0,6016,2152,0,0,0
318,15112,0,13064,0,0,0,11016,0,0,1352,0,0
319,0,0,0,0,11016,4224,0,0,2152,0,3240,0
320,0,0,13064,0,0,0,11016,6016,0,1352,0,0
321,0,13064,0,18960,0,6016,0,0,0,0,0,1352
322,15112,13064,0,0,0,0,0,9224,0,0,0,1352
323,0,0,13064,18960,11016,0,0,0,0,1352,0,0
324,0,0,0,0,0,6016,9224,9224,0,0,0,1352
325,15112,13064,0,18960,11016,0,0,0,0,0,0,0
326,0,0,13064,0,0,0,0,0,848,1352,1352,0
327,0,0,0,0,0,6016,9224,9224,0,0,0,1352
328,15112,13064,0,18960,11016,0,0,0,0,0,0,0
329,0,0,13064,0,0,0,0,0,848,1352,1352,0
330,0,0,0,0,0,6016,9224,9224,0,0,0,1352
331,15112,13064,0,18960,11016,0,0,0,0,0,0,0
332,0,0,13064,0,0,0,0,0,848,1352,1352,0
333,0,0,0,0,0,6016,9224,9224,0,0,0,1352
334,15112,13064,0,0,11016,0,0,0,0,0,1352,0
335,0,0,13064,0,0,6016,0,0,848,1352,0,0
336,15112,0,0,0,0,0,9224,9224,0,0,0,1352
337,0,13064,13064,0,11016,0,0,0,0,0,1352,0
338,0,0,0,0,0,6016,0,0,848,1352,0,1352
339,15112,13064,0,0,0,0,9224,9224,0,0,0,0
340,0,0,13064,0,11016,0,0,0,0,1352,1352,0
341,0,0,0,15112,0,0,0,11016,0,0,3240,2152
342,0,13064,16392,15112,0,0,0,0,0,2152,0,0
343,13064,0,0,0,0,4224,7808,0,0,0,3240,0
344,0,0,0,15112,0,0,0,11016,0,2152,0,2152
345,0,13064,16392,0,0,4224,7808,0,0,0,0,0
346,13064,0,0,0,0,0,0,11016,0,0,3240,2152
347,0,0,16392,15112,4224,0,0,0,0,2152,0,0
348,13064,13064,0,0,0,4224,7808,0,0,0,0,0
349,0,0,0,0,4224,0,0,11016,0,0,3240,2152
350,0,13064,16392,15112,0,0,0,0,0,2152,0,0
351,13064,0,0,0,0,4224,7808,0,0,0,3240,0
352,0,0,0,0,4224,0,0,11016,0,2152,0,2152
353,0,13064,16392,15112,0,0,7808,0,0,0,0,0
354,13064,0,0,0,0,4224,0,0,0,0,3240,2152
355,0,0,0,15112,4224,0,0,11016,0,2152,0,0
356,0,13064,16392,0,0,4224,7808,0,0,0,0,0
357,13064,0,0,0,0,0,0,11016,0,0,3240,2152
358,0,13064,16392,0,4224,0,0,0,0,2152,0,0
359,13064,0,0,0,0,4224,7808,0,0,0,3240,0
360,0,0,0,0,4224,0,0,11016,0,2152,0,2152
361,0,18960,0,13064,11016,0,0,0,2152,0,0,0
362,18960,0,16392,0,0,0,0,0,2152,0,0,3240
363,0,0,0,13064,11016,4736,0,0,0,0,3240,0
364,0,18960,0,0,0,0,6016,11016,2152,0,0,0
365,18960,0,16392,0,0,4736,0,0,0,0,0,3240
366,0,0,0,13064,11016,0,0,0,0,1352,3240,0
367,0,18960,0,0,0,0,6016,11016,2152,0,0,0
368,18960,0,16392,0,0,4736,0,0,0,0,0,3240
369,0,0,0,13064,11016,0,0,0,0,1352,3240,0
370,0,18960,0,0,0,0,6016,11016,2152,0,0,0
371,18960,0,16392,0,0,4736,0,0,0,0,0,3240
372,0,0,0,13064,11016,0,0,0,0,1352,3240,0
373,0,18960,0,0,0,0,6016,11016,2152,0,0,0
374,18960,0,16392,0,0,4736,0,0,0,0,0,3240
375,0,0,0,13064,11016,0,0,0,0,1352,3240,0
376,0,18960,0,0,0,0,6016,11016,2152,0,0,0
377,18960,0,16392,0,0,4736,0,0,0,0,0,3240
378,0,0,0,13064,11016,0,0,0,0,1352,3240,0
379,0,0,0,0,0,0,6016,11016,2152,0,0,3240
380,0,0,0,13064,0,4736,0,0,0,1352,3240,0
381,0,15112,18960,0,0,0,7808,0,0,2152,0,0
382,13064,0,0,18960,0,0,0,11016,2152,0,0,0
383,0,15112,18960,0,0,4736,0,0,0,0,0,3240
384,13064,0,0,0,4736,0,7808,0,0,2152,0,0
385,0,0,0,18960,0,0,0,11016,2152,0,2152,0
386,0,15112,18960,0,0,4736,0,0,0,0,0,3240
387,13064,0,0,0,4736,0,7808,0,0,2152,0,0
388,0,0,0,18960,0,0,0,11016,2152,0,2152,0
389,0,15112,18960,0,0,4736,0,0,0,0,0,3240
390,13064,0,0,0,4736,0,7808,0,0,2152,0,0
391,0,0,0,18960,0,0,0,11016,2152,0,2152,0
392,0,15112,18960,0,0,4736,0,0,0,0,0,3240
393,13064,0,0,0,4736,0,7808,0,0,2152,0,0
394,0,0,0,18960,0,0,0,11016,2152,0,2152,0
395,0,15112,18960,0,0,4736,0,0,0,0,0,3240
396,13064,0,0,0,4736,0,7808,0,0,2152,0,0
397,0,0,0,18960,0,0,0,11016,2152,0,2152,0
398,0,15112,0,0,0,4736,7808,0,0,0,0,3240
399,13064,0,0,0,4736,0,0,11016,0,2152,0,0
400,0,0,0,0,0,4736,0,0,2152,0,2152,3240
401,18960,16392,17424,16392,0,0,0,0,0,0,0,0
402,0,0,0,0,4224,0,6016,0,3240,0,3240,0
403,18960,16392,17424,16392,0,0,0,0,0,0,0,0
404,0,0,0,0,4224,4224,0,0,3240,0,3240,0
405,18960,16392,17424,0,0,0,6016,0,0,0,0,0
406,0,0,0,16392,0,4224,0,4224,3240,0,0,0
407,0,0,0,0,4224,0,6016,0,0,0,3240,1352
408,18960,16392,17424,16392,0,0,0,0,0,0,0,0
409,0,0,0,0,0,4224,0,4224,3240,0,3240,0
410,0,0,17424,0,4224,0,6016,0,0,0,0,1352
411,18960,16392,0,16392,0,0,0,4224,0,0,0,0
412,0,0,0,0,0,4224,0,0,3240,0,3240,1352
413,18960,0,17424,0,4224,0,6016,0,0,0,0,0
414,0,16392,0,16392,0,4224,0,4224,0,0,0,0
415,0,0,0,0,4224,0,0,0,3240,0,3240,1352
416,0,0,0,0,0,4224,6016,4224,3240,0,0,0
417,0,0,0,0,4224,0,6016,0,0,0,3240,1352
418,0,0,0,0,0,4224,0,4224,3240,0,3240,0
419,0,0,0,0,4224,0,6016,4224,0,0,0,1352
420,0,0,0,0,0,4224,0,0,3240,0,3240,1352
421,18960,18960,17424,0,0,0,0,0,0,1352,0,0
422,0,0,0,17424,0,9224,0,7808,0,1352,0,0
423,18960,18960,17424,0,0,0,0,0,0,0,0,2152
424,0,0,0,17424,4224,9224,4736,0,0,0,0,0
425,0,18960,17424,0,0,0,0,7808,0,1352,0,0
426,18960,0,0,17424,4224,0,0,0,0,0,0,2152
427,0,0,0,0,0,9224,4736,7808,0,1352,0,0
428,18960,18960,17424,0,0,0,0,0,0,0,1352,0
429,0,0,0,17424,4224,0,4736,0,0,0,0,2152
430,0,0,0,0,0,9224,0,7808,848,1352,0,0
431,18960,18960,17424,0,0,0,0,0,0,0,1352,0
432,0,0,0,17424,4224,0,4736,0,0,0,0,2152
433,0,0,0,0,0,9224,0,7808,848,1352,0,0
434,18960,18960,17424,0,0,0,0,0,0,0,1352,0
435,0,0,0,17424,4224,0,4736,0,0,0,0,2152
436,0,0,0,0,0,9224,0,7808,848,1352,0,0
437,0,0,0,0,4224,0,4736,0,0,0,1352,2152
438,0,0,0,0,0,9224,0,7808,848,1352,0,0
439,0,0,0,0,4224,0,4736,0,0,0,1352,2152
440,0,0,0,0,0,9224,0,7808,848,1352,0,0
441,13064,15112,18960,17424,0,0,0,0,0,0,0,0
442,0,0,18960,17424,7808,0,9224,0,0,0,0,0
443,13064,15112,0,0,0,0,0,0,0,1352,0,2152
444,0,0,0,0,7808,7808,9224,0,0,0,848,0
445,0,15112,18960,17424,0,0,0,0,0,0,0,2152
446,13064,0,0,0,0,0,9224,4736,0,1352,0,0
447,0,0,18960,0,7808,7808,0,0,0,0,848,0
448,13064,15112,0,17424,0,0,0,0,0,0,0,2152
449,0,0,0,0,7808,0,9224,4736,0,1352,0,0
450,0,0,18960,17424,0,7808,0,0,0,0,848,0
451,13064,15112,0,0,0,0,0,4736,0,0,0,2152
452,0,0,0,0,7808,7808,9224,0,0,1352,0,0
453,0,15112,0,17424,0,0,0,0,0,0,848,2152
454,13064,0,0,0,0,0,9224,4736,0,1352,0,0
455,0,0,0,0,7808,7808,0,0,0,0,848,2152
456,13064,0,0,0,0,0,9224,4736,0,1352,0,0
457,0,0,0,0,7808,7808,0,0,0,0,848,2152
458,13064,0,0,0,0,0,9224,4736,0,1352,0,0
459,0,0,0,0,7808,7808,0,0,0,0,848,2152
460,0,0,0,0,7808,0,9224,4736,0,1352,0,0
461,0,15112,18960,17424,0,0,0,0,848,0,0,0
462,17424,0,0,0,0,0,0,11016,848,0,2152,0
463,0,15112,18960,17424,0,0,0,0,0,2152,0,0
464,17424,0,0,0,0,7808,0,11016,0,0,2152,0
465,0,0,18960,17424,0,0,0,0,848,2152,0,0
466,0,15112,0,0,4736,7808,0,0,0,0,2152,0
467,17424,0,0,0,0,0,4736,11016,848,0,0,0
468,0,15112,18960,17424,0,0,0,0,0,2152,0,0
